Date,Close,Open,High,Low,Volume,Change
27/10/2020,27463.19,27651.18,27707.69,27457.96,37248000000,-0.01
26/10/2020,27685.38,28185.82,28185.82,27370.16,40704000000,-0.02
23/10/2020,28335.57,28409.65,28436.52,28149.82,35010000000,0.00
22/10/2020,28363.66,28197.42,28421.31,28040.18,33439000000,0.01
21/10/2020,28210.82,28270.66,28450.64,28196.39,30111000000,0.00
20/10/2020,28308.79,28245.85,28575.03,28243.04,35145000000,0.00
19/10/2020,28195.42,28633.55,28711.93,28139.4,36092000000,-0.01
16/10/2020,28606.31,28570.72,28842.9,28570.72,35895000000,0.00
15/10/2020,28494.2,28323.4,28535.85,28181.54,33013000000,0.00
14/10/2020,28514,28731.3,28792.56,28461.73,37248000000,-0.01
13/10/2020,28679.81,28764.95,28808.84,28604.35,52827000000,-0.01
12/10/2020,28837.52,28671.12,28957.9,28659.67,49368000000,0.01
9/10/2020,28586.9,28533.61,28676.29,28440.63,32648000000,0.01
8/10/2020,28425.51,28348.86,28459.13,28265.56,31583000000,0.00
7/10/2020,28303.46,27971.36,28369.66,27971.36,33019000000,0.02
6/10/2020,27772.76,28214.24,28354.48,27728.03,43844000000,-0.01
5/10/2020,28148.64,27825.42,28162.64,27825.42,32253000000,0.02
2/10/2020,27682.81,27536.39,27861.43,27382.94,39582000000,0.00
1/10/2020,27816.9,27940.63,28041.46,27669.26,37565000000,0.00
30/09/2020,27781.7,27514.64,28026.33,27511.06,45515000000,0.01
29/09/2020,27452.66,27560.24,27605.6,27338.09,30670000000,0.00
28/09/2020,27584.06,27362.14,27722.6,27362.14,40506000000,0.02
25/09/2020,27173.96,26694.51,27239.29,26635.38,39173000000,0.01
24/09/2020,26815.44,26716.09,27094.85,26537.01,44878000000,0.00
23/09/2020,26763.13,27413.6,27464.46,26716.12,46320000000,-0.02
22/09/2020,27288.18,27170.34,27333.09,26989.93,42333000000,0.01
21/09/2020,27147.7,27484.71,27484.71,26715.15,52366000000,-0.02
18/09/2020,27657.42,27864.87,27946.69,27487.97,70389000000,-0.01
17/09/2020,27901.98,27834.18,28056.79,27647.93,43989000000,0.00
16/09/2020,28032.38,28031.69,28364.77,28021.67,41665000000,0.00
15/09/2020,27995.6,28139.76,28231.06,27931.45,41889000000,0.00
14/09/2020,27993.33,27718.74,28086.06,27718.74,38409000000,0.01
11/9/2020,27665.64,27613.86,27828.82,27448.15,43753000000,0.00
10/9/2020,27534.58,28022.51,28174.78,27447.08,44759000000,-0.01
9/9/2020,27940.47,27711.71,28206.21,27704.54,46706000000,0.02
8/9/2020,27500.89,27925.23,27925.23,27464.9,58716000000,-0.02
