,Date,Close,Open,High,Low,Volume,Change,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
117,8/12/2021,35754.75,35716.85,35840.52,35602.65,38765000000,0.0,237.86999999999534,-37.900000000001455,35785.80428571429,35763.99785714286,35997.584285714285,155.64878196960163,463.39952496254796
118,7/12/2021,35719.43,35423.99,35819.47,35423.99,48289000000,0.01,395.4800000000032,-295.4400000000023,35760.345714285715,35715.51357142857,35972.96333333333,148.72827951879307,463.80792358813477
119,6/12/2021,35227.03,34633.43,35356.75,34633.43,41875000000,0.02,723.3199999999997,-593.5999999999985,35660.28857142857,35638.70285714285,35916.76904761905,230.63285270677636,479.7903321544299
120,3/12/2021,34580.08,34692.78,34801.31,34264.57,44485000000,0.0,536.739999999998,112.69999999999709,35522.560000000005,35540.811428571425,35811.07523809523,472.53471092965833,518.4900809909607
121,2/12/2021,34639.79,34076.25,34759.65,34076.25,47058000000,0.02,683.4000000000015,-563.5400000000009,35378.10857142857,35461.23285714286,35718.443333333336,571.0326453723907,546.3195911581116
122,1/12/2021,34022.04,34678.94,35004.64,34006.98,49838000000,-0.01,997.6599999999962,656.9000000000015,35099.68714285714,35356.18571428572,35608.14523809523,695.3720624412799,640.6006880155808
123,30/11/2021,34483.72,35056.99,35056.99,34424.44,67880000000,-0.02,632.5499999999956,573.2699999999968,34918.12,35324.154285714285,35516.98523809524,660.9178236866452,658.5289272355808
124,29/11/2021,35135.94,35017.71,35287.91,34895.89,41604000000,0.01,392.0200000000041,-118.2300000000032,34829.71857142857,35307.76142857143,35452.57142857143,564.7516158285648,623.9862568300028
125,26/11/2021,34899.34,35366.69,35366.69,34749.8,32539000000,-0.03,616.8899999999994,467.3500000000058,34712.56285714286,35236.45428571429,35381.19666666667,414.4974493172387,595.4841807581474
126,24/11/2021,35804.38,35752.31,35825.47,35591.03,28794000000,0.0,234.44000000000233,-52.06999999999971,34795.04142857143,35227.665,35357.48238095238,564.301639504654,566.1591594409815
127,23/11/2021,35813.8,35619.92,35841.52,35542.87,39252000000,0.01,298.6499999999942,-193.88000000000466,34971.287142857145,35246.92357142857,35350.97,668.9345745964258,559.7462795944891
128,22/11/2021,35619.25,35631.41,35929.66,35615.55,42081000000,0.0,314.1100000000006,12.160000000003492,35111.21000000001,35244.65928571429,35344.55857142857,690.1397753837216,555.6565642397557
129,19/11/2021,35601.98,35879.09,35879.09,35555.37,41465000000,-0.01,323.7199999999939,277.1099999999933,35336.915714285715,35218.30142857142,35349.76238095238,509.2019696171019,557.6215376211001
130,18/11/2021,35870.95,35901.69,35952.63,35654.39,43508000000,0.0,298.23999999999796,30.74000000000524,35535.09142857143,35226.60571428572,35394.46666666666,373.7321390349698,560.0942971350463
131,17/11/2021,35931.05,36159.7,36159.7,35909.48,35831000000,-0.01,250.2199999999939,228.64999999999418,35648.67857142857,35239.19857142857,35421.40047619048,352.42051696941684,572.0995336430783
132,16/11/2021,36142.22,36076.18,36316.61,36076.18,31190000000,0.0,240.4300000000003,-66.04000000000087,35826.23285714286,35269.39785714286,35433.04714285714,185.56108659195436,584.6317511060216
133,15/11/2021,36087.45,36128.83,36236.07,36031.78,28066000000,0.0,204.29000000000087,41.38000000000466,35866.67142857143,35330.85642857143,35440.66714285714,209.32725697894782,592.3890202234443
134,12/11/2021,36100.31,35963.78,36147.63,35934.59,29318000000,0.01,213.04000000000087,-136.52999999999884,35907.601428571434,35439.444285714286,35467.14952380952,224.7117200941343,609.4333912123806
135,11/11/2021,35921.23,36038.78,36108.17,35915.27,27032000000,0.0,192.90000000000146,117.54999999999563,35950.741428571426,35530.97571428572,35480.02,185.73454053477906,616.3241435315182
136,10/11/2021,36079.94,36299.25,36346.61,36009.5,28352000000,-0.01,337.1100000000006,219.30999999999767,36019.02142857143,35677.96857142857,35485.20809523809,107.55351015967744,621.1037039223397
137,9/11/2021,36319.98,36404.53,36416.98,36173.07,25802000000,0.0,243.9100000000035,84.54999999999563,36083.16857142857,35809.13,35512.12666666667,134.94039887175862,645.1512635523468
138,8/11/2021,36432.22,36416.46,36565.73,36334.42,28840000000,0.0,231.31000000000495,-15.760000000002037,36154.764285714286,35901.72142857143,35544.387142857144,169.34613634591923,674.1755414068961
139,5/11/2021,36327.95,36268.75,36484.75,36190.2,34460000000,0.01,294.5500000000029,-59.19999999999709,36181.29714285715,36003.765,35573.364285714284,181.188975171954,694.8363401158318
140,4/11/2021,36124.23,36107.46,36168.03,35986.48,30999000000,0.0,181.54999999999563,-16.770000000004075,36186.55142857142,36026.61142857143,35616.0880952381,178.52767679271992,700.040162659283
141,3/11/2021,36157.58,36059.09,36178.51,35891.73,26254000000,0.0,286.77999999999884,-98.49000000000524,36194.73285714286,36051.16714285714,35691.20714285714,175.19798207702996,667.177824819789
142,2/11/2021,36052.63,35935.11,36088.81,35884.13,30451000000,0.0,204.6800000000003,-117.5199999999968,36213.50428571429,36082.12285714286,35758.485238095236,145.53856360186234,625.8042940057367
143,1/11/2021,35913.84,35833.65,36009.74,35797.97,29548000000,0.0,211.7699999999968,-80.18999999999505,36189.775714285715,36104.39857142857,35848.57095238095,180.32692116068685,483.27472367056765
144,29/10/2021,35819.56,35712.28,35852.53,35633.2,40799000000,0.0,219.33000000000175,-107.27999999999884,36118.287142857145,36100.727857142854,35912.18238095238,215.8081706605676,369.0621894191487
145,28/10/2021,35730.48,35545.41,35742.25,35545.41,34843000000,0.01,196.8399999999965,-185.0699999999997,36018.03857142857,36086.40142857143,35940.49380952381,208.53900829580593,326.9380092380914
146,27/10/2021,35490.69,35835.43,35835.43,35490.43,35808000000,-0.01,345.0,344.73999999999796,35898.43,36039.86357142857,35968.653333333335,239.0394171122693,248.9416914924724
147,26/10/2021,35756.88,35791.05,35892.92,35734.73,32191000000,0.0,158.18999999999505,34.17000000000553,35845.95142857143,36016.25142857143,35966.391428571435,220.83622018966048,250.7183770142457
148,25/10/2021,35741.15,35692.62,35787.04,35629.37,27041000000,0.0,157.66999999999825,-48.529999999998836,35786.46142857143,35990.59714285714,35962.9319047619,174.02555802999933,253.41589473825672
149,22/10/2021,35677.02,35607.72,35765.02,35533.95,34908000000,0.0,231.0699999999997,-69.29999999999563,35732.80285714286,35973.15357142857,35965.682857142856,130.82201072643485,249.7860842025212
150,21/10/2021,35603.08,35520.32,35612.36,35442.53,30212000000,0.0,169.83000000000175,-82.76000000000204,35688.40857142857,35939.09214285714,35965.73523809524,110.26029452005093,249.70610358177262
151,20/10/2021,35609.34,35475.16,35669.69,35465.71,26733000000,0.0,203.9800000000032,-134.17999999999302,35658.37714285714,35888.33214285714,35953.27761904762,96.33442629976328,260.9441559009318
152,19/10/2021,35457.31,35325.37,35462.68,35290.12,28126000000,0.01,172.55999999999767,-131.93999999999505,35619.352857142854,35818.69571428571,35930.71857142857,115.65094029234253,282.54554843894147
153,18/10/2021,35258.61,35221.02,35327.57,35035.94,32309000000,0.0,291.6299999999974,-37.59000000000378,35586.19857142857,35742.31428571429,35888.641904761906,176.13331668836705,313.56478221573417
154,15/10/2021,35294.76,35023.63,35320.97,35023.63,32787000000,0.01,297.3400000000038,-271.13000000000466,35520.18142857143,35683.06642857143,35850.89476190476,187.7205903667528,335.3883367322205
155,14/10/2021,34912.56,34443.22,34923.83,34443.22,33854000000,0.02,480.6100000000006,-469.3399999999965,35401.811428571425,35594.13642857143,35794.33523809524,268.8650878804691,387.3494751719849
156,13/10/2021,34377.81,34372.71,34449.83,34115.1,31945000000,0.0,334.7300000000032,-5.099999999998545,35216.21,35474.50642857143,35720.83904761905,440.7256419436968,493.85211843109295
157,12/10/2021,34378.34,34507.15,34611.24,34318.94,32203000000,0.0,292.29999999999563,128.81000000000495,35041.24714285714,35364.82785714285,35639.810476190476,500.5843717002071,566.2715902856182
158,11/10/2021,34496.06,34723.79,34951.35,34486.51,25682000000,-0.01,464.8399999999965,227.7300000000032,34882.20714285714,35270.29214285714,35552.95714285714,465.64502831071894,595.835183512421
159,8/10/2021,34746.25,34757.57,34842.62,34661.95,23808000000,0.0,180.67000000000553,11.319999999999709,34780.62714285714,35199.99,35472.672857142854,390.8246256193297,584.9233994048201
160,7/10/2021,34754.94,34509.72,34975.19,34509.72,27705000000,0.01,465.47000000000116,-245.22000000000116,34708.67428571428,35147.436428571425,35397.76761904762,329.7511814412747,570.4613237537839
161,6/10/2021,34416.99,34198.96,34432.68,33854.69,32337000000,0.0,577.989999999998,-218.02999999999884,34583.27857142857,35051.729999999996,35316.47047619048,217.5353273554201,583.2626274197962
162,5/10/2021,34314.67,34035.25,34490.95,34035.25,31243000000,0.01,455.6999999999971,-279.41999999999825,34497.86571428571,34949.83857142857,35228.712857142855,181.00944918773962,588.9955611134283
163,4/10/2021,34002.92,34312.96,34410.28,33821.58,40019000000,-0.01,588.6999999999971,310.0400000000009,34444.310000000005,34830.26,35131.107619047616,260.4697384854477,614.8976198514306
164,1/10/2021,34326.46,33930.7,34490.56,33785.54,42916000000,0.01,705.0199999999968,-395.76000000000204,34436.89857142857,34739.072857142855,35055.5180952381,263.38153082735937,611.4237552762465
165,30/09/2021,33843.92,34467.98,34557.37,33833.32,35620000000,-0.02,724.0500000000029,624.060000000005,34343.73571428571,34612.97142857143,34961.44,342.4391115150981,639.3405053020881
